2025-11-09 21:39:45.159 | INFO     | core.camera_manager:start_camera:120 - 摄像头 1 已启动
2025-11-09 21:39:45.193 | ERROR    | core.camera_manager:_capture_frames:142 - 无法打开摄像头 1，源：1
2025-11-09 21:39:45.193 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 1 捕获线程退出
2025-11-09 21:40:55.279 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 21:40:55.323 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:20:34.524 | SUCCESS  | core.face_detection:_load_model:59 - 人脸检测模型加载成功
2025-11-09 22:20:34.527 | INFO     | core.camera_manager:load_config:74 - 成功加载 2 个摄像头配置
2025-11-09 22:20:34.571 | SUCCESS  | core.database:_init_db:71 - 数据库初始化成功
2025-11-09 22:20:34.572 | INFO     | core.face_detection:load_known_faces:103 - 共加载 0 张已知人脸
2025-11-09 22:20:34.638 | INFO     | core.camera_manager:start_camera:120 - 摄像头 0 已启动
2025-11-09 22:20:34.639 | INFO     | core.camera_manager:start_camera:120 - 摄像头 1 已启动
2025-11-09 22:20:34.640 | INFO     | __main__:main:120 - 程序启动成功
2025-11-09 22:20:34.731 | ERROR    | core.camera_manager:_capture_frames:142 - 无法打开摄像头 1，源：1
2025-11-09 22:20:34.732 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 1 捕获线程退出
2025-11-09 22:20:34.747 | INFO     | core.camera_manager:_capture_frames:150 - 摄像头 0 打开成功
2025-11-09 22:20:56.952 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 0 捕获线程退出
2025-11-09 22:20:56.952 | INFO     | core.camera_manager:stop_camera:127 - 摄像头 0 已停止
2025-11-09 22:20:59.707 | INFO     | core.camera_manager:start_camera:120 - 摄像头 0 已启动
2025-11-09 22:20:59.803 | INFO     | core.camera_manager:_capture_frames:150 - 摄像头 0 打开成功
2025-11-09 22:21:13.325 | INFO     | core.camera_manager:_capture_frames:181 - 摄像头 0 捕获线程退出
2025-11-09 22:21:13.326 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:21:13.332 | INFO     | core.camera_manager:stop_all_cameras:93 - 所有摄像头线程已停止
2025-11-09 22:21:55.387 | SUCCESS  | core.face_detection:_load_model:59 - 人脸检测模型加载成功
2025-11-09 22:21:55.389 | INFO     | core.camera_manager:load_config:74 - 成功加载 2 个摄像头配置
2025-11-09 22:21:55.407 | SUCCESS  | core.database:_init_db:71 - 数据库初始化成功
